,Project Name,Donor,Period of implementation,Total budget US$ Millions,Donor contribution 2010/11,Donor  contribution 2012/13,Coverage
1,Agricultural Marketing Promoting and Regional inte,WFP,2007-2011,9.54,1,0,"Adjuman,Bundibujo 
Gulu,Kitgum Pader, Arua 
Moyo , Yumbe"
2,Support for Tea Cocoa Seedlings,,2004-2011,938000,0,0,"Kabalore, Jinja, Kyenjojo, 
Hoima, Kibaale, 
Mubende, Masaka, 
Mukono,Bushenyi, 
Kanungu, Wakiso, Mpigi, 
Luwero, Kiboga,Mubende, 
Masindi, Kamwenge, 
Bundubujo, Kamuli,Iganga, 
Mayuge, Lira"
3,Vegetable Oil Development Project  phase 1,International fund for agric and D,1998-2011,1353312,1310000,0,
4,Farm Income Enhancement Project,"ADB , ADF, Nordic dev fund",2005-2011,10101000,600000,0,"Masaka, Wakiso, 
Kiboga,Rakai, Hoima, 
Masindi. Kabalore, 
Kyenjojo, Kamwnge, 
Kasese, Mbarara,Kabal
e,Kisoro,BushenyiRuku
ngiri,Ntungamu,Arua,Ad
juman Nebbi Lira,Gulu, 
Kitgum, Pallisa, Sironko, 
Mbale, Jinja, Iganga,Soroti, 
Kamuli, Bugiri,Tororo, 
Nakapiripirit, 
Kumi,  Moroto 
Luwero,Sembabule, 
Nakasongola,"
5,Crop Disease and Pest Control,"DANIDA,FAO",2006-2012,746000,0,0,
6,Improvement of Food Security in cross boarder districts,FAO,2005 -2011,,0,0,
8,"Regional NERICA research 
and training centre",Gov of Japan,2009-2011,1363981,2,0,"Masaka, Wakiso,  Hoima, 
Masindi, Lira,Gulu, Mbale, 
Tororo"
9,Agricultural improved rice production,FOOD AND AGRIC ORGANISATIONS,2009 - 2012,1.896,0,0,
11,"Sustainable Irrigated rice 
production in eastern Ug",Japan,2008 - 2011,10102,993000,0,
12,Vegetable Oil Development Project  phase II,International fund for agric and D,2012 -2016,,19301000,14350000,
13,Rice development project,,,,0,6260000,
14,Creation of tsetse and tryp areas,ADB,2006-2011,916000,2472000,0,
15,Avian and human influenza preparedness and response,,,,5538000,0,
16,Support to quality assurance fish marketing,,,,2380118,1127260,
17,Technical assistance to improve animal disease diag,,,,0,3230000,
18,Development of national early warning system,Norway,2005 -2008,213000,,,
19,Farming in tsetse controlled areas,"EU, Multi -lateral development partners",2001-2011,1354000,,,"Bigiri, Busia, Iganga, Jinja, 
Kamuli, Kayunga, Mayuge, 
Mbale, Mukono, Palisa 
,Soroti,Tororo"
20,North west small holder Agric dev project,ADB,2001-2008,26.89,,,"Adjuman, Arua, Nebbi, 
Moyo Yumbe"
21,Livestock disease control,GTZ and EU,2001-2012,5454000,,,
22,Support  to fisheries development( loan),ADB,2002-2008,5677000,0,0,"Lakes Albert, Kyoga, 
Victoria, Edward, George"
24,Trans-boundary agro-system management,FAO,2007-2012,279000,,,"Masaka,Pader, Kitgum, 
Lira, Apac, Moroto, 
Kotido, Nakapiripirit, 
Katakwi, Kaberamaido, 
Soroti,Kumi,Pallisa, 
Soronko, Kamuli, Kayunga, 
Luwero, Nakasongola, 
Masindi , Kyenjojo, 
Mubende Kiboga, Kibaall, 
Mpigi, Sembabule, Rakai, 
Mbarara, Kamwenge , 
Ntungamu, Bushenyi, 
Dokolo Amulata, Oyam, 
Abim, Budaka, Bukedea, 
Bukwa, Bulisa, Nakaseke, 
Kaliro, Kaabong Butaleja, 
Ibanda ,Kiruhura, Isingiro, 
Mityana"
25,National livestock productivity improvement project,ADB,2005-2010,59202000,0,0,
26,Rural electrification ERT,IDA,2002 -2012,1478000,,,"Arua, Nebbi, Mbarara, 
Kabale, Palisa, Luwero, 
Lira, Kasese, Wakiso, 
Ntungamo"
27,Trans-boundary agro-system management,FAO,2007-2012,770000,,,countrywide
28,Plan for national agricultural statistics,World bank DFID,2007-2012,220000,,,MAAIF
29,Integrated pest and disease management(E.A),Italian Government,2007-2010,3000000,,,"Kabale, Kisoro"
30,NAADS,"GoU 75%
Donors 25%",,,,,Countrywide
